Temperature,HeartRate,HRV,SleepIndex,Tindex
34.15,50.00,1.16,0,1
33.97,50.00,1.16,0,1
34.05,50.00,1.16,0,1
34.09,50.00,1.16,0,1
34.14,50.00,1.16,0,1
34.02,50.00,1.16,0,1
34.06,50.00,1.16,0,1
34.11,50.00,1.16,0,1
34.19,50.00,1.16,0,1
33.96,50.00,1.16,0,1
34.13,50.00,1.16,0,1
34.05,50.00,1.16,0,1
34.16,50.00,1.16,0,1
34.17,50.00,1.16,0,1
34.04,50.00,1.16,0,1
34.03,50.00,1.16,0,1
33.95,50.00,1.16,0,1
34.00,50.00,1.16,0,1
33.92,50.00,1.16,0,1
34.05,50.00,1.16,0,1
34.01,50.00,1.16,0,1
33.99,50.00,1.16,0,1
33.92,50.00,1.16,0,1
33.94,50.00,1.16,0,1
33.94,50.00,1.16,0,1
33.88,50.00,1.16,0,1
33.88,50.00,1.16,0,1
33.82,50.00,1.16,0,1
33.85,50.00,1.16,0,1
33.90,50.00,1.16,0,1
33.81,50.00,1.16,0,1
33.79,50.00,1.16,0,1
33.79,50.00,1.16,0,1
33.76,50.00,1.16,0,1
33.80,50.00,1.16,0,1
33.64,50.00,1.16,0,1
33.75,50.00,1.16,0,1
33.81,50.00,1.16,0,1
33.70,50.00,1.16,0,1
33.86,50.00,1.16,0,1
33.79,50.00,1.16,0,1
33.85,50.00,1.16,0,1
33.88,50.00,1.16,0,1
33.93,50.00,1.16,0,1
33.82,50.00,1.16,0,1
33.91,50.00,1.16,0,1
33.90,50.00,1.16,0,1
33.89,50.00,1.16,0,1
33.80,50.00,1.16,0,1
33.91,50.00,1.16,0,1
33.86,50.00,1.16,0,1
33.86,50.00,1.16,0,1
33.81,50.00,1.16,0,1
33.74,50.00,1.16,0,1
33.73,50.00,1.16,0,1
33.77,50.00,1.16,0,1
33.70,50.00,1.16,0,1
33.57,50.00,1.16,0,1
33.59,50.00,1.16,0,1
33.59,50.00,1.16,0,1
33.64,50.00,1.16,0,1
33.38,50.00,1.16,0,1
33.32,50.00,1.16,0,1
33.20,50.00,1.16,0,1
33.09,50.00,1.16,0,1
32.96,50.00,1.16,0,1
32.98,50.00,1.16,0,1
33.35,50.00,1.16,0,1
33.11,50.00,1.16,0,1
33.52,50.00,1.16,0,1
33.65,50.00,1.16,0,1
33.23,50.00,1.16,0,1
37.81,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
38.59,50.00,1.16,0,0
38.88,50.00,1.16,0,0
39.92,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,4.92,0,0
40.00,60.50,4.91,0,0
40.00,60.50,4.91,0,0
40.00,50.00,4.85,0,0
40.00,50.00,4.83,0,0
40.00,50.00,4.97,0,0
40.00,50.00,0.13,0,0
40.00,50.00,0.13,0,0
40.00,50.00,0.15,0,0
40.00,59.50,0.16,0,0
40.00,50.00,0.16,0,0
40.00,50.00,0.16,0,0
40.00,50.00,0.16,0,0
40.00,60.50,0.03,0,0
40.00,51.06,0.03,1,0
40.00,51.43,0.03,1,0
40.00,51.43,0.03,1,0
40.00,50.00,0.14,0,0
39.87,50.00,0.15,0,0
39.69,50.00,0.14,0,0
33.27,0.00,0.00,0,1
33.34,0.00,0.00,0,1
33.37,0.00,0.00,0,1
33.34,0.00,0.00,0,1
33.18,0.00,0.00,0,1
33.30,0.00,0.00,0,1
33.39,0.00,0.00,0,1
33.25,0.00,0.00,0,1
33.22,0.00,0.00,0,1
33.40,0.00,0.00,0,1
33.40,0.00,0.00,0,1
33.41,0.00,0.00,0,1
33.38,0.00,0.00,0,1
33.46,0.00,0.00,0,1
33.57,0.00,0.00,0,1
33.60,0.00,0.00,0,1
33.53,0.00,0.00,0,1
33.58,0.00,0.00,0,1
33.70,0.00,0.00,0,1
33.64,0.00,0.00,0,1
33.69,0.00,0.00,0,1
33.73,0.00,0.00,0,1
34.00,0.00,0.00,0,1
33.97,0.00,0.00,0,1
34.54,0.00,0.00,0,1
35.40,60.00,0.05,0,1
36.98,60.00,0.06,0,0
37.19,61.02,0.06,0,0
37.38,60.00,0.05,0,0
37.50,59.50,0.00,1,0
37.27,60.50,0.00,0,0
37.18,59.50,0.00,1,0
37.16,60.50,0.00,0,0
37.14,60.50,0.00,0,0
36.97,59.50,0.00,1,0
37.10,60.00,0.00,0,0
36.93,60.50,0.00,0,0
37.00,59.50,0.00,1,0
36.72,60.50,0.00,0,0
36.93,60.50,0.00,0,0
36.90,59.50,0.00,1,0
36.90,59.50,0.00,1,0
36.88,59.50,0.00,1,0
36.94,59.50,0.00,1,0
36.88,59.50,0.00,1,0
36.89,59.50,0.00,1,0
36.86,59.50,0.00,1,0
36.73,59.50,0.00,1,0
36.84,59.50,0.00,1,0
36.92,59.50,0.00,1,0
36.75,59.50,0.00,1,0
36.68,59.50,0.00,1,0
36.77,59.50,0.00,1,0
36.85,59.50,0.00,1,0
36.69,59.50,0.00,1,0
36.63,59.50,0.00,1,0
36.36,59.50,0.00,1,0
36.62,59.50,0.00,1,0
36.65,59.50,0.00,1,0
36.35,59.50,0.00,1,0
36.47,59.50,0.00,1,0
36.55,59.50,0.00,1,0
36.41,59.50,0.00,1,0
36.46,59.50,0.00,1,0
36.37,59.50,0.00,1,0
36.55,59.50,0.00,1,0
36.45,59.50,0.00,1,0
36.13,59.50,0.00,1,0
35.83,59.50,0.00,1,1
35.82,59.50,0.00,1,1
35.48,59.50,0.00,1,1
35.35,59.50,0.00,1,1
35.46,59.50,0.00,1,1
35.34,59.50,0.00,1,1
35.36,59.50,0.00,1,1
